CareerField,CareerLevel,EducationLevel,MonthlyIncome
Healthcare,Entry,PhD,11300
Education,Mid,Associate Degree,4945
Forestry,Mid,Bachelor's Degree,6535
Defense,Senior,Associate Degree,5451
Mining,Entry,Associate Degree,5494
Manufacturing,Mid,Associate Degree,4501
Government,Entry,Master's Degree,7306
Mining,Mid,Bachelor's Degree,6684
Engineering,Entry,Bachelor's Degree,5547
Government,Entry,Master's Degree,8482
Real Estate,Senior,Associate Degree,5341
Finance,Senior,Associate Degree,5645
Forestry,Entry,Master's Degree,6684
Healthcare,Mid,High School,3290
Real Estate,Mid,Bachelor's Degree,5928
Engineering,Senior,High School,3384
Manufacturing,Mid,Bachelor's Degree,5372
Technology,Mid,Associate Degree,5270
Energy,Entry,Master's Degree,7076
Engineering,Mid,Bachelor's Degree,6358
Agriculture,Senior,Associate Degree,4763
Defense,Entry,Master's Degree,7904
Agriculture,Entry,Bachelor's Degree,7151
Retail,Senior,Bachelor's Degree,7472
Fishing,Entry,Bachelor's Degree,5417
Government,Senior,Master's Degree,6526
Mining,Mid,Bachelor's Degree,7151
Real Estate,Entry,Master's Degree,7048
Transportation,Mid,High School,4446
Forestry,Mid,High School,3826
Transportation,Mid,Bachelor's Degree,7781
Finance,Mid,Bachelor's Degree,5611
Healthcare,Mid,Bachelor's Degree,7772
Legal,Senior,High School,3722
Education,Entry,Bachelor's Degree,6520
Energy,Entry,Master's Degree,8830
Construction,Mid,Associate Degree,4164
Transportation,Entry,Bachelor's Degree,7518
Retail,Entry,Associate Degree,5675
Forestry,Entry,Master's Degree,7736
Healthcare,Mid,Bachelor's Degree,6231
Fishing,Mid,Associate Degree,4476
Transportation,Senior,Master's Degree,9455
Mining,Entry,PhD,9300
Engineering,Mid,Bachelor's Degree,7541
Government,Entry,High School,4210
Engineering,Mid,Bachelor's Degree,7439
Logistics,Mid,Bachelor's Degree,5837
Energy,Entry,Associate Degree,4689
Education,Entry,High School,3757
Energy,Mid,Associate Degree,4747
Fishing,Senior,Master's Degree,6670
Finance,Entry,Master's Degree,7178
Fishing,Entry,Master's Degree,6855
Media,Entry,Master's Degree,7223
Government,Senior,Bachelor's Degree,5975
Government,Mid,High School,3445
Government,Senior,Master's Degree,6585
Engineering,Mid,Master's Degree,7542
Forestry,Mid,Bachelor's Degree,7962
Real Estate,Senior,Master's Degree,8424
Technology,Entry,Bachelor's Degree,7395
Agriculture,Entry,High School,3239
Finance,Senior,High School,4015
Retail,Entry,Associate Degree,3896
Logistics,Senior,Associate Degree,4303
Finance,Senior,Associate Degree,5587
Forestry,Senior,Bachelor's Degree,6339
Transportation,Mid,High School,3449
Transportation,Mid,Bachelor's Degree,7800
Technology,Mid,Bachelor's Degree,5925
Education,Mid,High School,4053
Education,Entry,Associate Degree,4563
Technology,Entry,Associate Degree,4565
Agriculture,Entry,Associate Degree,4052
Manufacturing,Senior,High School,3967
Fishing,Mid,Bachelor's Degree,6660
Finance,Mid,Associate Degree,5110
Real Estate,Mid,Bachelor's Degree,7047
Defense,Mid,Master's Degree,9114
Mining,Mid,Associate Degree,5575
Manufacturing,Entry,Master's Degree,8180
Engineering,Entry,Master's Degree,8583
Manufacturing,Entry,Master's Degree,8630
Education,Mid,Bachelor's Degree,6732
Real Estate,Senior,Associate Degree,5226
Media,Mid,Bachelor's Degree,6865
Energy,Senior,High School,3613
Logistics,Entry,Bachelor's Degree,6725
Agriculture,Mid,High School,3643
Education,Mid,Master's Degree,6450
Government,Mid,Associate Degree,5274
Finance,Senior,Bachelor's Degree,5506
Energy,Entry,High School,4390
Education,Mid,Master's Degree,7634
Education,Mid,Bachelor's Degree,7398
Engineering,Mid,Master's Degree,6955
Education,Entry,Associate Degree,4318
Engineering,Mid,Master's Degree,8481
Real Estate,Mid,Associate Degree,4533
Construction,Senior,Associate Degree,5622
Healthcare,Mid,Associate Degree,4950
Education,Mid,Associate Degree,5545
Defense,Mid,Master's Degree,6632
Technology,Senior,Bachelor's Degree,5440
Real Estate,Entry,High School,3805
Real Estate,Entry,Bachelor's Degree,7328
Fishing,Mid,Associate Degree,4043
Defense,Entry,High School,4105
Real Estate,Entry,Bachelor's Degree,7090
Mining,Mid,Bachelor's Degree,6297
Retail,Mid,Bachelor's Degree,7363
Technology,Mid,PhD,11744
Media,Senior,Master's Degree,6415
Fishing,Mid,High School,4363
Forestry,Entry,Associate Degree,4423
Government,Entry,Master's Degree,8041
Government,Mid,Associate Degree,3998
Manufacturing,Mid,Bachelor's Degree,6754
Government,Mid,Master's Degree,9193
Real Estate,Entry,Master's Degree,7499
Education,Mid,PhD,9251
Fishing,Mid,Master's Degree,6781
Manufacturing,Senior,PhD,9844
Retail,Senior,High School,4794
Fishing,Entry,Bachelor's Degree,6901
Fishing,Mid,Master's Degree,6653
Manufacturing,Entry,PhD,8574
Manufacturing,Senior,Bachelor's Degree,6439
Transportation,Mid,Master's Degree,9533
Logistics,Senior,Master's Degree,8269
Manufacturing,Senior,Bachelor's Degree,5411
Retail,Entry,Bachelor's Degree,5520
Finance,Mid,High School,4038
Agriculture,Entry,High School,4017
Retail,Entry,Bachelor's Degree,6229
Real Estate,Mid,Master's Degree,7030
Government,Senior,Bachelor's Degree,6363
Agriculture,Mid,PhD,7965
Forestry,Mid,Associate Degree,5571
Technology,Mid,Associate Degree,4517
Education,Entry,Bachelor's Degree,5492
Retail,Entry,Associate Degree,5292
Engineering,Mid,High School,4729
Retail,Senior,High School,4687
Education,Senior,Master's Degree,8238
Agriculture,Entry,Bachelor's Degree,7871
Manufacturing,Entry,Master's Degree,8776
Mining,Entry,Master's Degree,9414
Mining,Mid,Associate Degree,5486
Agriculture,Entry,Master's Degree,6416
Construction,Mid,Master's Degree,7516
Mining,Senior,Bachelor's Degree,6556
Technology,Mid,Master's Degree,9261
Government,Mid,Master's Degree,7495
Legal,Mid,High School,4229
Technology,Entry,Associate Degree,4752
Technology,Mid,Bachelor's Degree,6675
Media,Entry,Bachelor's Degree,6757
Legal,Senior,High School,3537
Legal,Mid,High School,3280
Transportation,Mid,PhD,10963
Technology,Entry,Associate Degree,5329
Media,Entry,High School,4524
Media,Entry,Bachelor's Degree,7738
Forestry,Mid,Associate Degree,4622
Education,Senior,Associate Degree,5097
Education,Entry,PhD,11440
Healthcare,Senior,Bachelor's Degree,6422
Education,Mid,Bachelor's Degree,6747
Defense,Senior,Bachelor's Degree,7531
Education,Entry,High School,4279
Mining,Mid,Bachelor's Degree,5442
Real Estate,Senior,Bachelor's Degree,5816
Forestry,Mid,Bachelor's Degree,5761
Legal,Senior,Bachelor's Degree,7099
Energy,Mid,Associate Degree,5124
Defense,Mid,Bachelor's Degree,6527
Media,Mid,Bachelor's Degree,6435
Construction,Entry,Bachelor's Degree,5751
Healthcare,Mid,High School,3226
Education,Entry,High School,4134
Energy,Mid,Associate Degree,5293
Fishing,Mid,Master's Degree,6494
Real Estate,Senior,Master's Degree,8582
Government,Entry,Associate Degree,5435
Energy,Entry,Bachelor's Degree,7275
Engineering,Entry,Master's Degree,7812
Mining,Entry,High School,4786
Retail,Entry,Bachelor's Degree,5562
Retail,Entry,Master's Degree,6416
Mining,Entry,High School,4136
Retail,Senior,Master's Degree,9223
Finance,Entry,Bachelor's Degree,7784
Mining,Entry,Master's Degree,7533
Manufacturing,Entry,Master's Degree,8110
Real Estate,Mid,High School,3993
Construction,Mid,Bachelor's Degree,6452
Retail,Senior,PhD,10621
Construction,Entry,Associate Degree,4620
Education,Mid,Associate Degree,4812
Forestry,Senior,PhD,8614
Education,Entry,Associate Degree,5040
Legal,Entry,Associate Degree,5441
Real Estate,Mid,Bachelor's Degree,7529
Defense,Entry,High School,4470
Legal,Entry,Bachelor's Degree,5591
Healthcare,Mid,High School,4423
Retail,Mid,Master's Degree,9538
Energy,Mid,High School,4268
Healthcare,Entry,Master's Degree,9264
Manufacturing,Mid,High School,4781
Technology,Entry,High School,4470
Manufacturing,Entry,Bachelor's Degree,6208
Defense,Entry,Associate Degree,3826
Energy,Mid,Associate Degree,4639
Defense,Entry,Master's Degree,7880
Fishing,Senior,Master's Degree,9273
Real Estate,Mid,High School,4486
Legal,Mid,Associate Degree,4686
Transportation,Entry,PhD,11639
Fishing,Mid,Associate Degree,3844
Media,Mid,High School,3225
Healthcare,Senior,High School,4465
Legal,Entry,High School,4770
Government,Entry,Bachelor's Degree,6517
Real Estate,Mid,Associate Degree,4772
Logistics,Senior,Bachelor's Degree,6673
Transportation,Entry,Bachelor's Degree,5513
Forestry,Entry,Master's Degree,8342
Mining,Entry,Bachelor's Degree,6468
Transportation,Entry,Master's Degree,7029
Legal,Mid,Associate Degree,4584
Retail,Entry,Associate Degree,5081
Legal,Mid,High School,4028
Energy,Entry,Associate Degree,4711
Construction,Entry,PhD,8931
Technology,Entry,High School,4108
Fishing,Entry,Bachelor's Degree,7536
Media,Senior,PhD,11610
Fishing,Senior,High School,3671
Construction,Mid,Associate Degree,4359
Defense,Mid,High School,4009
Finance,Entry,Associate Degree,5320
Technology,Mid,Associate Degree,4550
Mining,Mid,Associate Degree,4325
Mining,Senior,Bachelor's Degree,5881
Government,Entry,Bachelor's Degree,7970
Engineering,Senior,High School,3571
Transportation,Mid,Master's Degree,7439
Government,Entry,Bachelor's Degree,7700
Technology,Senior,Associate Degree,5004
Forestry,Entry,High School,3747
Defense,Senior,Bachelor's Degree,7342
Construction,Mid,High School,4094
Healthcare,Mid,High School,3771
Finance,Senior,Bachelor's Degree,7166
Finance,Entry,Associate Degree,4799
Energy,Entry,Master's Degree,8343
Energy,Mid,Master's Degree,9193
Fishing,Entry,Master's Degree,7434
Retail,Senior,Bachelor's Degree,7570
Real Estate,Entry,PhD,9473
Government,Entry,Bachelor's Degree,5610
Agriculture,Senior,Bachelor's Degree,5551
Manufacturing,Mid,Master's Degree,8095
Real Estate,Mid,Associate Degree,5536
Media,Entry,Associate Degree,3991
Agriculture,Entry,Bachelor's Degree,7178
Legal,Mid,PhD,9281
Construction,Entry,Master's Degree,8558
Finance,Mid,Master's Degree,9232
Defense,Mid,Bachelor's Degree,7177
Healthcare,Entry,Associate Degree,4317
Media,Entry,Bachelor's Degree,6508
Government,Mid,Bachelor's Degree,5892
Fishing,Entry,Bachelor's Degree,6939
Forestry,Entry,PhD,7997
Energy,Mid,Master's Degree,9437
Agriculture,Mid,Associate Degree,5467
Logistics,Mid,Master's Degree,8039
Logistics,Senior,Associate Degree,5542
Agriculture,Senior,High School,3632
Legal,Mid,Associate Degree,4968
Manufacturing,Entry,High School,3484
Construction,Senior,High School,4785
Media,Mid,Master's Degree,8323
Legal,Mid,Associate Degree,4844
Retail,Entry,Bachelor's Degree,5867
Education,Senior,Master's Degree,8813
Defense,Entry,Associate Degree,5417
Education,Mid,High School,4462
Real Estate,Mid,Bachelor's Degree,7300
Forestry,Entry,High School,3585
Retail,Mid,Bachelor's Degree,6693
Forestry,Mid,Master's Degree,7192
Technology,Entry,Associate Degree,3968
Fishing,Mid,Associate Degree,4078
Energy,Mid,High School,3403
Forestry,Mid,Associate Degree,5042
Engineering,Senior,High School,4015
Government,Entry,Bachelor's Degree,7373
Education,Senior,High School,3286
Construction,Entry,Master's Degree,6890
Legal,Senior,Associate Degree,5202
Engineering,Entry,High School,4024
Defense,Senior,Bachelor's Degree,6528
Technology,Mid,Associate Degree,5317
Energy,Mid,Bachelor's Degree,6673
Finance,Entry,Associate Degree,5686
Retail,Mid,PhD,9653
Agriculture,Mid,Bachelor's Degree,6685
Construction,Mid,Associate Degree,4569
Mining,Senior,Bachelor's Degree,6601
Engineering,Senior,Bachelor's Degree,5981
Energy,Mid,Associate Degree,5167
Mining,Mid,Bachelor's Degree,7154
Healthcare,Entry,Bachelor's Degree,6829
Mining,Mid,Associate Degree,4139
Government,Entry,Associate Degree,4016
Energy,Entry,Master's Degree,8060
Transportation,Mid,Bachelor's Degree,7492
Engineering,Mid,Bachelor's Degree,5684
Transportation,Senior,Bachelor's Degree,6492
Fishing,Senior,Bachelor's Degree,6463
Real Estate,Entry,Associate Degree,5081
Forestry,Entry,High School,4703
Healthcare,Entry,Master's Degree,6603
Transportation,Entry,Bachelor's Degree,7762
Mining,Senior,PhD,8305
Retail,Mid,PhD,8563
Education,Senior,Master's Degree,6608
Forestry,Senior,Bachelor's Degree,5854
Mining,Entry,High School,3364
Defense,Entry,High School,3232
Retail,Senior,High School,4194
Transportation,Entry,Associate Degree,5588
Energy,Mid,Master's Degree,8644
Legal,Entry,High School,4615
Technology,Senior,Associate Degree,5211
Healthcare,Senior,High School,3870
Agriculture,Entry,Bachelor's Degree,7633
Government,Senior,Bachelor's Degree,5925
Agriculture,Mid,High School,3244
Engineering,Mid,Master's Degree,7388
Technology,Mid,PhD,9322
Media,Mid,High School,4343
Agriculture,Mid,Bachelor's Degree,6002
Forestry,Senior,Associate Degree,3879
Healthcare,Mid,Associate Degree,5117
Transportation,Mid,PhD,8677
Agriculture,Mid,Bachelor's Degree,7476
Fishing,Mid,High School,4654
Fishing,Mid,Bachelor's Degree,7287
Technology,Entry,Master's Degree,9185
Technology,Mid,Master's Degree,6713
Legal,Mid,Associate Degree,4574
Technology,Mid,Bachelor's Degree,7670
Finance,Mid,High School,4441
Mining,Entry,High School,4812
Construction,Mid,High School,3991
Government,Senior,Associate Degree,4146
Real Estate,Entry,Bachelor's Degree,5925
Construction,Senior,Bachelor's Degree,5443
Finance,Entry,Associate Degree,3876
Transportation,Mid,Master's Degree,8817
Agriculture,Mid,Associate Degree,4050
Legal,Entry,Master's Degree,8666
Media,Senior,Bachelor's Degree,7338
Engineering,Entry,Master's Degree,9017
Manufacturing,Entry,High School,3284
Education,Senior,High School,4246
Retail,Senior,High School,4793
Defense,Mid,Bachelor's Degree,7016
Forestry,Entry,High School,3885
Construction,Entry,Master's Degree,9358
Retail,Mid,High School,3529
Media,Mid,Master's Degree,8470
Fishing,Mid,Master's Degree,7151
Technology,Entry,Associate Degree,5690
Retail,Entry,Bachelor's Degree,6160
Transportation,Entry,Bachelor's Degree,5717
Defense,Entry,Master's Degree,8853
Legal,Mid,Master's Degree,6684
Government,Mid,Associate Degree,5279
Energy,Mid,Associate Degree,4192
Finance,Mid,Master's Degree,8709
Defense,Senior,Bachelor's Degree,5667
Fishing,Mid,Bachelor's Degree,5462
Retail,Entry,Bachelor's Degree,5601
Mining,Entry,PhD,10193
Transportation,Mid,Bachelor's Degree,7541
Technology,Mid,High School,4477
Fishing,Senior,Master's Degree,8470
Manufacturing,Entry,Bachelor's Degree,5621
Logistics,Senior,Associate Degree,5496
Legal,Mid,Bachelor's Degree,5526
Legal,Mid,High School,4317
Transportation,Entry,Master's Degree,7390
Education,Mid,High School,3435
Transportation,Mid,PhD,8529
Real Estate,Senior,High School,3965
Construction,Entry,Bachelor's Degree,5580
Engineering,Entry,Bachelor's Degree,6114
Forestry,Senior,Bachelor's Degree,6394
Retail,Senior,Bachelor's Degree,6846
Manufacturing,Entry,High School,3743
Construction,Mid,Master's Degree,8527
Media,Senior,Bachelor's Degree,5759
Mining,Entry,High School,3642
Forestry,Senior,High School,4440
Media,Entry,High School,3717
Technology,Entry,Bachelor's Degree,6778
Engineering,Entry,Associate Degree,4139
Energy,Entry,Bachelor's Degree,6712
Finance,Senior,Bachelor's Degree,5598
Engineering,Entry,Bachelor's Degree,6087
Construction,Mid,Bachelor's Degree,7741
Logistics,Entry,Master's Degree,8486
Healthcare,Senior,Associate Degree,5530
Retail,Entry,Associate Degree,5408
Engineering,Senior,Associate Degree,4313
Logistics,Entry,Bachelor's Degree,7196
Education,Entry,Associate Degree,5258
Energy,Mid,Associate Degree,5581
Technology,Senior,Bachelor's Degree,7227
Healthcare,Mid,Associate Degree,4265
Education,Entry,Associate Degree,4982
Legal,Mid,Bachelor's Degree,5837
Mining,Entry,Associate Degree,4857
Finance,Mid,High School,3855
Fishing,Entry,High School,4757
Retail,Senior,High School,3429
Agriculture,Entry,Associate Degree,5168
Retail,Entry,Master's Degree,7599
Fishing,Mid,Bachelor's Degree,5927
Logistics,Mid,Master's Degree,7827
Engineering,Entry,Associate Degree,5232
Media,Mid,High School,4065
Fishing,Entry,Master's Degree,7887
Fishing,Entry,Master's Degree,6816
Logistics,Senior,Associate Degree,5687
Construction,Entry,PhD,11321
Technology,Mid,High School,4187
Energy,Mid,High School,3965
Defense,Mid,Master's Degree,8927
Media,Mid,Associate Degree,4398
Healthcare,Entry,High School,3848
Transportation,Entry,Bachelor's Degree,6797
Construction,Entry,High School,4307
Media,Mid,Master's Degree,8565
Transportation,Entry,Associate Degree,5530
Finance,Mid,Associate Degree,4860
Mining,Mid,Master's Degree,7014
Transportation,Mid,High School,3357
Fishing,Entry,High School,3889
Real Estate,Mid,Bachelor's Degree,7012
Legal,Senior,High School,4798
Engineering,Senior,Bachelor's Degree,7330
Mining,Mid,Bachelor's Degree,6035
Engineering,Senior,Master's Degree,7449
Construction,Senior,Master's Degree,9100
Transportation,Mid,Bachelor's Degree,7351
Technology,Mid,Associate Degree,5088
Technology,Mid,PhD,8355
Legal,Senior,Associate Degree,4700
Finance,Entry,Associate Degree,5314
Construction,Mid,Master's Degree,8507
Technology,Senior,Master's Degree,8723
Healthcare,Entry,Associate Degree,4526
Government,Mid,Associate Degree,5514
Defense,Mid,High School,4746
Real Estate,Entry,Master's Degree,8604
Logistics,Entry,Associate Degree,5270
Legal,Entry,Associate Degree,4784
Engineering,Mid,Associate Degree,5567
Engineering,Senior,Associate Degree,5500
Energy,Senior,High School,4700
Media,Entry,Bachelor's Degree,7884
Media,Mid,Associate Degree,5457
Fishing,Mid,Bachelor's Degree,7078
Agriculture,Senior,Master's Degree,7031
Technology,Entry,Bachelor's Degree,5373
Real Estate,Mid,PhD,8427
Logistics,Mid,High School,3305
Transportation,Entry,Bachelor's Degree,6301
Manufacturing,Entry,Associate Degree,5076
Healthcare,Senior,Master's Degree,6716
Energy,Senior,Bachelor's Degree,7578
Technology,Entry,Associate Degree,4129
Government,Mid,Bachelor's Degree,5926
Finance,Entry,Associate Degree,5556
Energy,Entry,PhD,8947
Healthcare,Mid,Bachelor's Degree,5930
Defense,Mid,Bachelor's Degree,7425
Transportation,Entry,Associate Degree,5566
Healthcare,Mid,Bachelor's Degree,6325
Government,Senior,Associate Degree,4226
Legal,Entry,Associate Degree,5169
Manufacturing,Senior,High School,4117
Technology,Entry,Master's Degree,9411
Fishing,Entry,Master's Degree,7159
Media,Entry,High School,3594
Mining,Entry,Associate Degree,4877
Transportation,Mid,Bachelor's Degree,5462
Media,Mid,Bachelor's Degree,5367
Fishing,Entry,Associate Degree,3866
Finance,Entry,Bachelor's Degree,5549
Finance,Senior,High School,3518
Engineering,Senior,Bachelor's Degree,6214
Mining,Entry,Bachelor's Degree,7750
Fishing,Entry,Master's Degree,6464
Fishing,Entry,High School,4301
Mining,Entry,PhD,9070
Legal,Mid,Bachelor's Degree,7750
Fishing,Mid,Bachelor's Degree,7287
Agriculture,Entry,Master's Degree,8699
Technology,Entry,Bachelor's Degree,6654
Finance,Entry,Associate Degree,4618
Forestry,Entry,Master's Degree,7924
Engineering,Entry,Bachelor's Degree,5445
Technology,Mid,Bachelor's Degree,7606
Retail,Mid,High School,3469
Engineering,Mid,PhD,11363
Legal,Senior,Bachelor's Degree,6881
Energy,Senior,Master's Degree,6472
Fishing,Mid,Bachelor's Degree,6938
Real Estate,Entry,Master's Degree,7260
Media,Mid,Master's Degree,8470
Logistics,Mid,High School,3809
Manufacturing,Entry,Master's Degree,9245
Forestry,Mid,Bachelor's Degree,6992
Government,Senior,High School,3332
Media,Mid,High School,4077
Technology,Mid,Bachelor's Degree,6440
Mining,Mid,Bachelor's Degree,7411
Logistics,Mid,Master's Degree,7418
Forestry,Entry,Associate Degree,4399
Government,Senior,Associate Degree,4635
Forestry,Senior,High School,3972
Media,Mid,Bachelor's Degree,7701
Transportation,Entry,High School,4422
Finance,Entry,Associate Degree,5178
Fishing,Mid,Bachelor's Degree,7482
Technology,Mid,Bachelor's Degree,7802
Healthcare,Entry,Associate Degree,5071
Transportation,Entry,High School,4373
Retail,Mid,Master's Degree,7230
Legal,Entry,Bachelor's Degree,6078
Agriculture,Mid,Master's Degree,8769
Finance,Senior,Bachelor's Degree,6142
Finance,Mid,Master's Degree,9060
Real Estate,Senior,PhD,8054
Defense,Entry,Bachelor's Degree,6033
Government,Senior,High School,4580
Mining,Mid,Bachelor's Degree,6309
Government,Entry,Associate Degree,4614
Education,Mid,PhD,8323
Transportation,Mid,Master's Degree,8003
Fishing,Entry,Bachelor's Degree,5994
Real Estate,Senior,Master's Degree,9258
Retail,Senior,High School,4664
Real Estate,Senior,High School,4016
Healthcare,Mid,Bachelor's Degree,6937
Fishing,Entry,Associate Degree,4705
Legal,Entry,Master's Degree,7292
Retail,Mid,Associate Degree,4932
Finance,Entry,Associate Degree,4252
Real Estate,Mid,Bachelor's Degree,7681
Real Estate,Mid,Bachelor's Degree,7005
Real Estate,Senior,Associate Degree,4962
Healthcare,Mid,Associate Degree,5570
Legal,Entry,Associate Degree,5458
Technology,Entry,Bachelor's Degree,7284
Transportation,Senior,Associate Degree,4075
Engineering,Entry,PhD,7950
Real Estate,Entry,High School,4500
Legal,Mid,Master's Degree,8135
Agriculture,Entry,High School,4402
Mining,Entry,Bachelor's Degree,6709
Fishing,Mid,High School,4210
Fishing,Senior,Bachelor's Degree,6401
Engineering,Mid,Associate Degree,4365
Media,Entry,Bachelor's Degree,5776
Transportation,Entry,High School,4728
Construction,Senior,Master's Degree,7431
Education,Entry,Associate Degree,3903
Finance,Mid,PhD,8947
Mining,Mid,Associate Degree,5445
Defense,Entry,PhD,9818
Media,Entry,Master's Degree,7098
Finance,Entry,High School,4835
Media,Entry,Associate Degree,5497
Logistics,Senior,Bachelor's Degree,7595
Forestry,Mid,High School,3994
Engineering,Senior,Bachelor's Degree,7392
Finance,Entry,High School,3283
Finance,Mid,Master's Degree,7010
Fishing,Mid,Associate Degree,4929
Energy,Entry,High School,4045
Forestry,Entry,High School,3983
Engineering,Senior,Master's Degree,8824
Agriculture,Entry,High School,4834
Agriculture,Senior,Associate Degree,5401
Legal,Mid,High School,3391
Fishing,Senior,Associate Degree,4628
Construction,Mid,Bachelor's Degree,5365
Agriculture,Entry,High School,3636
Healthcare,Senior,Bachelor's Degree,7432
Legal,Entry,Master's Degree,6435
Media,Senior,Bachelor's Degree,6372
Manufacturing,Mid,High School,4451
Agriculture,Entry,Associate Degree,5084
Technology,Entry,Master's Degree,8347
Construction,Mid,High School,4658
Construction,Entry,High School,3729
Fishing,Mid,Associate Degree,4328
Technology,Senior,Bachelor's Degree,7301
Transportation,Entry,High School,3444
Education,Entry,High School,4468
Fishing,Mid,Associate Degree,5192
Media,Mid,Bachelor's Degree,7668
Media,Senior,Bachelor's Degree,7083
Defense,Entry,Master's Degree,8297
Government,Entry,PhD,8211
Media,Entry,Associate Degree,5079
Engineering,Mid,High School,4815
Agriculture,Entry,Associate Degree,5399
Finance,Senior,Master's Degree,9452
Mining,Senior,Associate Degree,4106
Manufacturing,Mid,High School,4070
Defense,Entry,Bachelor's Degree,7547
Logistics,Senior,Associate Degree,3923
Legal,Entry,Master's Degree,9350
Forestry,Mid,Master's Degree,8518
Manufacturing,Senior,Bachelor's Degree,7910
Real Estate,Mid,PhD,8664
Agriculture,Mid,Bachelor's Degree,5730
Forestry,Mid,Associate Degree,5461
Real Estate,Mid,Master's Degree,7770
Legal,Mid,Associate Degree,4975
Legal,Mid,Bachelor's Degree,7441
Technology,Mid,Bachelor's Degree,6957
Logistics,Entry,Associate Degree,4738
Real Estate,Mid,Bachelor's Degree,5859
Energy,Mid,PhD,10456
Defense,Entry,Bachelor's Degree,5428
Logistics,Mid,Master's Degree,6730
Defense,Mid,High School,4221
Manufacturing,Entry,Bachelor's Degree,6459
Government,Mid,Bachelor's Degree,5678
Retail,Senior,Associate Degree,4859
Healthcare,Mid,Master's Degree,9264
Agriculture,Mid,Bachelor's Degree,6869
Retail,Mid,Bachelor's Degree,7836
Transportation,Entry,Associate Degree,5190
Real Estate,Mid,Associate Degree,4424
Forestry,Mid,High School,3338
Manufacturing,Entry,Associate Degree,5639
Fishing,Senior,Master's Degree,6977
Energy,Mid,Master's Degree,8402
Healthcare,Senior,High School,3733
Energy,Entry,Associate Degree,5597
Fishing,Senior,Bachelor's Degree,6935
Government,Entry,Associate Degree,4022
Real Estate,Mid,PhD,8527
Retail,Senior,Bachelor's Degree,6443
Education,Mid,Bachelor's Degree,7196
Retail,Mid,High School,4170
Government,Entry,Master's Degree,7976
Energy,Mid,Associate Degree,5229
Finance,Entry,Bachelor's Degree,6568
Agriculture,Mid,High School,4811
Healthcare,Mid,Associate Degree,4335
Manufacturing,Mid,Bachelor's Degree,6679
Defense,Entry,Associate Degree,4924
Legal,Entry,Bachelor's Degree,6571
Fishing,Mid,High School,3719
Agriculture,Mid,PhD,11653
Real Estate,Senior,Bachelor's Degree,6624
Legal,Entry,Master's Degree,7805
Transportation,Entry,Associate Degree,4469
Media,Mid,Master's Degree,6617
Healthcare,Entry,Master's Degree,7717
Transportation,Mid,Bachelor's Degree,7656
Manufacturing,Entry,Associate Degree,5441
Government,Mid,Bachelor's Degree,7994
Fishing,Mid,High School,3865
Manufacturing,Senior,Associate Degree,3947
Construction,Mid,Associate Degree,5549
Fishing,Mid,Master's Degree,8407
Fishing,Mid,Bachelor's Degree,7769
Media,Mid,Associate Degree,3838
Fishing,Mid,Master's Degree,7999
Defense,Entry,High School,3644
Technology,Senior,Associate Degree,5199
Energy,Mid,Associate Degree,5665
Retail,Entry,Bachelor's Degree,6178
Healthcare,Senior,High School,4096
Fishing,Entry,PhD,7921
Technology,Entry,High School,3707
Transportation,Entry,Master's Degree,9224
Manufacturing,Mid,High School,4552
Media,Mid,High School,4766
Real Estate,Entry,PhD,11267
Engineering,Mid,Bachelor's Degree,6161
Technology,Senior,Bachelor's Degree,6152
Real Estate,Senior,Bachelor's Degree,5885
Transportation,Entry,Bachelor's Degree,5564
Energy,Entry,Associate Degree,3935
Legal,Mid,Associate Degree,4894
Retail,Senior,Associate Degree,4760
Media,Entry,Bachelor's Degree,6693
Forestry,Mid,Associate Degree,4186
Forestry,Mid,Associate Degree,4814
Engineering,Senior,Associate Degree,5538
Fishing,Mid,Bachelor's Degree,6195
Engineering,Senior,High School,3650
Forestry,Senior,PhD,8651
Manufacturing,Mid,Bachelor's Degree,5784
Finance,Senior,High School,4105
Education,Mid,Bachelor's Degree,7708
Transportation,Senior,High School,4541
Logistics,Senior,Master's Degree,6719
Forestry,Senior,Master's Degree,7457
Engineering,Mid,Master's Degree,6490
Agriculture,Senior,High School,3454
Fishing,Senior,Associate Degree,4693
Construction,Entry,High School,4251
Education,Entry,Associate Degree,5420
Transportation,Mid,High School,4682
Technology,Entry,Bachelor's Degree,6660
Transportation,Mid,High School,4074
Retail,Entry,Bachelor's Degree,7785
Technology,Mid,PhD,11666
Finance,Mid,Bachelor's Degree,5677
Energy,Entry,Bachelor's Degree,6633
Forestry,Senior,Associate Degree,5402
Agriculture,Entry,Bachelor's Degree,6450
Education,Mid,Associate Degree,4436
Engineering,Mid,Master's Degree,7346
Retail,Entry,Associate Degree,4002
Government,Mid,Master's Degree,9050
Legal,Mid,Bachelor's Degree,5826
Mining,Mid,High School,3472
Manufacturing,Senior,High School,3868
Construction,Mid,Master's Degree,6782
Logistics,Senior,Bachelor's Degree,7063
Logistics,Entry,High School,3237
Mining,Entry,Master's Degree,7915
Healthcare,Entry,Bachelor's Degree,6965
Finance,Senior,Bachelor's Degree,7187
Finance,Mid,Associate Degree,4138
Forestry,Entry,Master's Degree,8541
Construction,Mid,High School,4204
Real Estate,Mid,Associate Degree,5110
Healthcare,Mid,Associate Degree,5179
